Dchg/Chg Cycle,BC,Vact,Discharge Current,Charge Current,Chg/Dchg Cycle,Ah,Tavg
1,35,3.17,19.945,0.01,10,3.483415556,34.60951918
1,35,3.17,20.069,0.01,10,3.494565,34.60861472
1,35,3.17,20.075,0.02,10,3.505717778,34.60311699
1,35,3.17,20.002,0.02,10,3.527942222,34.60229531
1,35,3.17,20.041,0.02,10,3.539076111,34.60619162
1,35,3.17,20.055,0.02,10,3.550217778,34.61240426
1,35,3.17,20.041,0.01,10,3.561351667,34.60682413
1,35,3.17,20.025,0.02,10,3.572476667,34.60767175
1,35,3.17,20.043,0.02,10,3.583611667,34.59950447
1,35,3.17,20.025,0.02,10,3.594736667,34.60847625
1,35,3.17,20.043,0.01,10,3.605871667,34.60570678
1,35,3.17,19.991,0.01,10,3.616977778,34.61739845
1,35,3.17,20.053,0.01,10,3.628118333,34.61798782
1,35,3.17,19.97,0.01,10,3.639212778,34.61257974
1,35,3.17,19.995,0.01,10,3.655875278,34.60988236
1,35,3.17,20.059,0.02,10,3.667019167,34.60987816
1,35,3.17,20.023,0.01,10,3.678143056,34.61212502
1,35,3.17,20.025,0.02,10,3.689268056,34.61710206
1,35,3.17,20.018,0.02,10,3.700389167,34.61057205
1,35,3.17,20.078,0.02,10,3.711543611,34.61264495
1,35,3.17,19.986,0.02,10,3.722646944,34.62183229
1,35,3.17,20.027,0.01,10,3.733773056,34.61992988
1,35,3.17,20.025,0.02,10,3.744898056,34.62451134
1,35,3.17,20.039,0.02,10,3.761597222,34.62994616
1,35,3.17,20.02,0.02,10,3.772719444,34.62069167
1,35,3.17,20.018,0.02,10,3.783840556,34.61583518
1,35,3.17,20.041,0.01,10,3.794974444,34.62651064
1,35,3.17,20.03,0.01,10,3.806102222,34.62780724
1,35,3.17,20.023,0.01,10,3.817226111,34.62721023
1,35,3.17,19.984,0.02,10,3.828328333,34.6279003
1,35,3.17,20.025,0.02,10,3.839453333,34.63277322
1,35,3.17,20.016,0.01,10,3.850573333,34.63580589
1,35,3.17,20.03,0.01,10,3.861701111,34.62992782
1,35,3.17,20,0.01,10,3.872812222,34.62982407
1,35,3.17,19.984,0.02,10,3.889465556,34.6280262
1,35,3.17,20.069,0.01,10,3.900615,34.63150597
1,35,3.17,20,0.01,10,3.911726111,34.6276718
1,35,3.17,20.085,0.01,10,3.922884444,34.63151742
1,35,3.17,19.97,0.01,10,3.933978889,34.63930208
1,35,3.17,20.018,0.01,10,3.9451,34.63083229
1,35,3.17,20.009,0.01,10,3.956216111,34.63285561
